SV-ID;Schweregrad;Kategorie;M-ID;Massnahme;Welle;Baustein;Aufwand;Regressions-Risiko;Server;Client;DB-Migration
SV-001;Kritisch;Secrets;M-001;Hardcoded Fallback-Passwoerter entfernen;1;;Klein;Mittel;Nein;Ja;Nein
SV-002;Kritisch;Server-Config;M-002;Security Headers einfuegen;1;B1;Klein;Keines;Ja;Nein;Nein
SV-003;Kritisch;Auth;M-003;Rate-Limiting fuer Login;1;B2;Mittel;Niedrig;Ja;Update empfohlen;Ja
SV-004;Kritisch;Secrets;M-004;OpenRouter-Proxy;2;B3;Gross;Hoch;Ja;Ja;Nein
SV-005;Hoch;Secrets;M-005;Token-Datei mit OS-Schutz;2;B5;Mittel;Niedrig;Nein;Ja;Nein
SV-006;Hoch;Secrets;M-006;Passwoerter in DB verschluesseln;2;;Mittel;Hoch;Ja;Nein;Ja
SV-007;Hoch;Input-Validation;M-007;Zip-Bomb-Schutz;2;;Mittel;Niedrig;Nein;Ja;Nein
SV-008;Hoch;Secrets;M-008;PEM-Temp-Files absichern;2;B4;Mittel;Keines;Nein;Ja;Nein
SV-009;Hoch;Deployment;M-009;Deployment-Prozess dokumentieren;3;;Gross;Keines;Doku;Nein;Nein
SV-010;Hoch;Secrets;M-010;Zertifikate verschluesseln;2;B5;Mittel;Niedrig;Nein;Ja;Nein
SV-011;Hoch;Supply-Chain;M-011;Dependency-Lockfile erzeugen;2;;Klein;Keines;Nein;Ja;Nein
SV-012;Mittel;SQL-Injection;M-012;LIMIT/OFFSET parametrisieren;1;;Klein;Keines;Ja;Nein;Nein
SV-013;Mittel;Datenschutz;M-013;PII-Redaktion bei KI-Klassifikation;3;B3;Klein;Niedrig;Ja;Nein;Nein
SV-014;Mittel;Datenschutz;M-014;PII aus Debug-Logs filtern;3;;Klein;Keines;Nein;Ja;Nein
SV-015;Mittel;Netzwerk;M-015;Proxy-Konfigurierbarkeit;3;;Klein;Keines;Nein;Ja;Nein
SV-016;Mittel;TLS;M-016;Certificate-Pinning Update-Kanal;3;;Mittel;Niedrig;Nein;Ja;Nein
SV-017;Mittel;Supply-Chain;M-017;Code-Signing fuer Installer;3;;Gross;Keines;Build;Nein;Nein
SV-018;Mittel;Server-Config;M-018;.htaccess fuer setup/;1;;Klein;Keines;Ja;Nein;Nein
SV-019;Mittel;Datenschutz;M-019;Log-Retention-Policy;3;;Mittel;Keines;Ja;Nein;Nein
SV-020;Mittel;Kryptographie;M-020;HKDF Key-Derivation;3;;Gross;Hoch;Ja;Nein;Ja
SV-021;Mittel;Input-Validation;M-021;MIME-Type-Whitelist fuer alle Uploads;2;;Klein;Mittel;Ja;Nein;Nein
SV-022;Niedrig;Supply-Chain;M-022;PHP Dependency-Management;3;;Mittel;Keines;Ja;Nein;Nein
SV-023;Niedrig;Information-Disclosure;M-023;API-Version aus Health-Check entfernen;3;;Klein;Keines;Ja;Nein;Nein
SV-024;Niedrig;Resource-Management;M-024;Temp-File-Leak bei PDF-Unlock beheben;3;B4;Klein;Keines;Nein;Ja;Nein
SV-025;Niedrig;Error-Handling;M-025;Fehler bei MSG-Extraktion nicht verschlucken;3;;Klein;Keines;Nein;Ja;Nein
SV-026;Niedrig;TLS;M-026;CRL/OCSP-Hinweis dokumentieren;3;;Klein;Keines;Doku;Nein;Nein
SV-027;Niedrig;Compliance;M-027;Lizenz-Kompatibilitaet pruefen;3;;Mittel;Keines;Doku;Nein;Nein
SV-028;Niedrig;Monitoring;M-028;Monitoring einrichten;3;;Mittel;Keines;Extern;Nein;Nein
SV-029;Niedrig;TLS;M-029;MySQL-Verbindung mit SSL pruefen;3;;Klein;Keines;Ja;Nein;Nein
SV-030;Niedrig;Testing;M-030;Security-Tests erstellen;3;;Mittel;Keines;Nein;Ja;Nein
