SV-ID;MassnahmeID;Status;Pruefung;Betroffene_Dateien;Kurznotiz
SV-001;Secret Key externalisieren;DONE;PASS;app.py:1495-1506;Umgebungsvariable ACENCIA_SECRET_KEY
SV-002;Credential-Verschlüsselung;DONE;PASS;app.py, requirements.txt;Fernet-Verschlüsselung via ACENCIA_MASTER_KEY
SV-003;HTTPS via Reverse Proxy;BLOCKED;NA;nginx.conf, run.py;Erfordert Deployment-Konfiguration mit Zertifikat
SV-004;CSRF-Schutz;DONE;PASS;app.py, alle Templates;Flask-WTF CSRFProtect + Token in allen Formularen
SV-005;Debug-Modus externalisieren;DONE;PASS;app.py:2766-2776;Umgebungsvariable FLASK_DEBUG
SV-006;Rate-Limiting;DONE;PASS;app.py, requirements.txt;Flask-Limiter 5/min auf /login
SV-007;PAT-Verschlüsselung;DONE;PASS;app.py;save_secrets/load_secrets mit Fernet
SV-008;Security Headers;DONE;PASS;app.py:1508-1536;after_request Handler
SV-009;Arbeitgeber-Zugriffskontrolle;DONE;PASS;app.py;before_request Handler + allowed_employers in users.json
SV-010;Log-Rotation;DONE;PASS;app.py:31-46;RotatingFileHandler 10MB/5 Backups
SV-011;pytest Test-Framework;DONE;PASS;tests/, requirements.txt;pytest + test_security.py + test_auth.py
SV-012;Passwort-Validierung;DONE;PASS;app.py;Min 8 Zeichen, Groß/Klein/Zahl
SV-013;Session-Timeout;DONE;PASS;app.py;8h Timeout mit Refresh
SV-014;PII-Anonymisierung;DONE;PASS;app.py;anonymize_log_message + ANONYMIZE_PII_LOGS Umgebungsvariable
SV-015;Input-Validierung;DONE;PASS;app.py;validate_employer_input + Provider-Whitelist
SV-016;Audit-Logger;DONE;PASS;app.py;audit.log mit RotatingFileHandler
SV-017;Update-Signaturprüfung;BLOCKED;NA;updater.py;Erfordert GPG-Schlüssel-Infrastruktur
SV-018;Secure Cookie;DONE;PASS;app.py;HttpOnly, SameSite, Secure-Flag
SV-019;SRI-Hashes;BLOCKED;NA;base.html;Google Fonts unterstützt kein stabiles SRI - Fonts lokal hosten als Alternative
SV-020;Account-Lockout;DONE;PASS;app.py;5 Versuche, 15min Sperre
SV-021;Failed Login Logging;DONE;PASS;app.py:1662-1668;IP + anonymisierter User geloggt
SV-022;Code-Refactoring;BLOCKED;NA;app.py;Großes Refactoring - niedriger Prio
SV-023;Data Retention;BLOCKED;NA;app.py;Erfordert Datenschutzkonzept-Abstimmung
SV-024;CI/CD Pipeline;BLOCKED;NA;.github/workflows/ci.yml;Erfordert GitHub-Repository-Einrichtung
SV-025;Health-Check Endpoints;DONE;PASS;app.py;/health und /ready Endpoints
SV-026;pip-tools Lockfile;BLOCKED;NA;requirements.txt;Niedriger Prio - pip freeze ausreichend
